Temps;Thermocouple{1}
0;36.0582537949085
1;36.0582537949085
2;35.5581404641271
3;35.5581404641271
4;35.5581404641271
5;35.5581404641271
6;36.0582537949085
7;36.0582537949085
8;35.5581404641271
9;35.5581404641271
10;36.0582537949085
11;35.5581404641271
12;36.0582537949085
13;36.0582537949085
14;36.0582537949085
15;36.0582537949085
16;36.0582537949085
17;36.55836712569
18;36.0582537949085
19;36.55836712569
20;36.55836712569
21;36.55836712569
22;36.55836712569
23;36.55836712569
24;36.55836712569
25;36.55836712569
26;36.55836712569
27;36.55836712569
28;36.55836712569
29;37.0584804564714
30;37.0584804564714
31;36.55836712569
32;37.0584804564714
33;36.55836712569
34;36.55836712569
35;37.0584804564714
36;37.0584804564714
37;37.0584804564714
38;37.0584804564714
39;37.0584804564714
40;37.0584804564714
41;37.0584804564714
42;37.0584804564714
43;37.0584804564714
44;37.0584804564714
45;37.0584804564714
46;37.0584804564714
47;38.0587071180344
48;37.0584804564714
49;37.5585937872529
50;37.0584804564714
51;37.0584804564714
52;37.0584804564714
53;37.0584804564714
54;37.5585937872529
55;37.5585937872529
56;37.5585937872529
57;37.0584804564714
58;37.5585937872529
59;37.0584804564714
60;37.0584804564714
61;37.0584804564714
62;37.5585937872529
63;38.0587071180344
64;37.0584804564714
65;37.0584804564714
66;38.0587071180344
67;37.5585937872529
68;37.0584804564714
69;37.5585937872529
70;37.5585937872529
71;38.0587071180344
72;37.5585937872529
73;38.0587071180344
74;38.0587071180344
75;37.0584804564714
76;37.5585937872529
77;37.5585937872529
78;37.0584804564714
79;38.0587071180344
80;37.5585937872529
81;38.0587071180344
82;37.5585937872529
83;38.0587071180344
84;37.5585937872529
85;38.0587071180344
86;38.0587071180344
87;38.0587071180344
88;37.5585937872529
89;37.5585937872529
90;38.0587071180344
91;38.0587071180344
92;37.5585937872529
93;37.5585937872529
94;38.0587071180344
95;38.0587071180344
96;37.5585937872529
97;37.5585937872529
98;38.0587071180344
99;38.0587071180344
100;38.0587071180344
101;38.0587071180344
102;38.0587071180344
103;38.0587071180344
104;37.5585937872529
105;38.0587071180344
106;38.0587071180344
107;38.0587071180344
108;38.0587071180344
109;38.0587071180344
110;38.0587071180344
111;38.0587071180344
112;37.5585937872529
113;38.0587071180344
114;38.0587071180344
115;38.0587071180344
116;38.0587071180344
117;38.0587071180344
118;38.0587071180344
119;38.0587071180344
120;38.0587071180344
121;38.5588204488158
122;38.0587071180344
123;38.0587071180344
124;38.0587071180344
125;38.0587071180344
126;38.0587071180344
127;38.5588204488158
128;38.0587071180344
129;38.0587071180344
130;38.0587071180344
131;38.0587071180344
132;38.0587071180344
133;38.0587071180344
134;38.0587071180344
135;38.5588204488158
136;38.0587071180344
137;38.0587071180344
138;38.0587071180344
139;38.0587071180344
140;38.0587071180344
141;38.0587071180344
142;38.0587071180344
143;38.0587071180344
144;38.0587071180344
145;38.0587071180344
146;38.0587071180344
147;38.0587071180344
148;38.0587071180344
149;38.5588204488158
150;38.5588204488158
151;38.0587071180344
152;38.0587071180344
153;38.0587071180344
154;38.0587071180344
155;38.0587071180344
156;38.0587071180344
157;38.0587071180344
158;38.0587071180344
159;38.0587071180344
160;38.0587071180344
161;38.0587071180344
162;38.5588204488158
163;38.0587071180344
164;38.5588204488158
165;38.0587071180344
166;38.5588204488158
167;38.0587071180344
168;38.0587071180344
169;38.5588204488158
170;38.0587071180344
171;38.0587071180344
172;38.5588204488158
173;38.5588204488158
174;38.5588204488158
175;38.5588204488158
176;38.0587071180344
177;38.5588204488158
178;38.0587071180344
179;38.0587071180344
180;38.5588204488158
181;38.0587071180344
182;38.5588204488158
183;38.5588204488158
184;38.0587071180344
185;38.0587071180344
186;38.5588204488158
187;38.0587071180344
188;38.0587071180344
189;38.0587071180344
190;38.5588204488158
191;38.5588204488158
192;38.0587071180344
193;38.0587071180344
194;38.5588204488158
195;38.0587071180344
196;38.0587071180344
197;38.5588204488158
198;38.0587071180344
199;38.5588204488158
200;38.0587071180344
201;39.0589337795973
202;38.5588204488158
203;38.5588204488158
204;38.5588204488158
205;38.0587071180344
206;39.0589337795973
207;38.5588204488158
208;38.5588204488158
209;38.5588204488158
210;38.5588204488158
211;38.0587071180344
212;38.0587071180344
213;38.0587071180344
214;38.5588204488158
215;38.5588204488158
216;38.5588204488158
217;38.0587071180344
218;38.5588204488158
219;38.5588204488158
220;38.5588204488158
221;38.5588204488158
222;38.5588204488158
223;38.5588204488158
224;39.0589337795973
225;38.5588204488158
226;38.5588204488158
227;38.5588204488158
228;38.5588204488158
229;38.5588204488158
230;38.5588204488158
231;38.5588204488158
232;39.0589337795973
233;38.0587071180344
234;39.0589337795973
235;38.5588204488158
236;38.5588204488158
237;38.5588204488158
238;38.0587071180344
239;38.5588204488158
240;39.0589337795973
241;38.5588204488158
242;38.5588204488158
243;38.5588204488158
244;38.5588204488158
245;38.5588204488158
246;38.5588204488158
247;38.5588204488158
248;39.0589337795973
249;39.0589337795973
250;38.5588204488158
251;38.5588204488158
252;38.5588204488158
253;38.5588204488158
254;38.5588204488158
255;38.5588204488158
256;38.5588204488158
257;38.5588204488158
258;38.5588204488158
259;38.5588204488158
260;39.0589337795973
261;38.5588204488158
262;39.0589337795973
263;38.5588204488158
264;38.5588204488158
265;39.0589337795973
266;39.0589337795973
267;38.5588204488158
268;38.5588204488158
269;38.5588204488158
270;38.5588204488158
271;38.5588204488158
272;38.5588204488158
273;38.5588204488158
274;38.5588204488158
275;38.5588204488158
276;38.5588204488158
277;38.5588204488158
278;38.5588204488158
279;38.5588204488158
280;39.0589337795973
281;38.5588204488158
282;39.0589337795973
283;38.5588204488158
284;39.0589337795973
285;39.0589337795973
286;38.5588204488158
287;38.5588204488158
288;38.5588204488158
289;39.0589337795973
290;39.0589337795973
291;39.0589337795973
292;38.5588204488158
293;38.5588204488158
294;38.5588204488158
295;39.0589337795973
296;39.0589337795973
297;39.0589337795973
